n, tiempo_bck
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 998000
26, 0
27, 0
28, 0
29, 1000000
30, 0
31, 1000000
32, 0
33, 999000
34, 0
35, 1998000
36, 999000
37, 2998000
38, 0
39, 5997000
40, 996000
41, 8994000
42, 1000000
43, 7995000
44, 0
45, 15989000
46, 0
47, 16989000
48, 999000
49, 31977000
50, 998000
51, 27966000
52, 0
53, 35975000
54, 999000
55, 47966000
56, 0
57, 69951000
58, 0
59, 76947000
60, 1001000
61, 106925000
62, 1001000
63, 137904000
64, 998000
65, 196861000
66, 1999000
67, 220842000
68, 1000000
69, 282804000
70, 1996000
71, 352752000
72, 1999000
73, 431698000
74, 2999000
75, 539622000
76, 2998000
