n, t ambas podas, t sin factibilidad, t sin optimalidad
1, 199600, 0, 0
2, 0, 0, 0
3, 0, 0, 0
4, 0, 0, 0
5, 0, 0, 0
6, 199800, 0, 0
7, 199800, 0, 200000
8, 0, 199800, 0
9, 0, 0, 0
10, 0, 0, 0
11, 0, 0, 0
12, 200000, 0, 0
13, 0, 199800, 0
14, 0, 200000, 199600
15, 199800, 199800, 200000
16, 0, 200200, 199800
17, 199800, 199800, 200000
18, 199800, 399800, 599600
19, 399800, 599800, 1199200
20, 1199200, 999200, 999400
21, 1199000, 1998800, 1399000
22, 799400, 2798200, 2598200
23, 1998600, 4597000, 3597200
24, 5596600, 7994400, 7594800
25, 3197800, 9793800, 9593600
26, 6195800, 18987000, 16188800
27, 10392800, 31977400, 24382600
28, 24783000, 56160800, 34975400
29, 18587200, 67752600, 62359800
30, 31577800, 124912200, 96732400
31, 57359400, 203261400, 143901800
32, 58361000, 268616200, 257548400
33, 113034400, 454928400, 404256800
34, 182535400, 757723000, 686703800
