n, tiempo_bck
1, 3777
2, 7399
3, 11250
4, 14751
5, 15946
6, 21541
7, 22210
8, 26040
9, 37522
10, 42912
11, 56599
12, 81970
13, 78064
14, 140543
15, 124904
16, 312249
17, 249875
18, 249750
19, 0
20, 969000
21, 1000000
22, 1997000
23, 0
24, 2996000
25, 13548000
26, 6996000
27, 14990000
28, 6994000
29, 20987000
30, 63952000
31, 28971000
32, 86938000
33, 36971000
34, 101928000
35, 12992000
36, 136905000
37, 17986000
38, 152890000
39, 22983000
40, 215850000
41, 34977000
42, 477670000
43, 51964000
44, 561435000
45, 74947000
46, 794445000
47, 80945000
48, 4907771000
49, 23768545000
50, 5790333000
51, 25818897000
52, 6159620000
53, 29178852000
54, 7021080000
55, 29772220000
56, 143057695000
57, 32921003000
